State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,23/04/2025,700,1100,900
"Andhra Pradesh",Chittor,Palamaner,"Cluster beans","Cluster Beans",FAQ,23/04/2025,4000,6000,5000
"Andhra Pradesh",Chittor,Palamaner,"Green Chilli","Green Chilly",FAQ,23/04/2025,3000,5000,4000
"Andhra Pradesh",Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,23/04/2025,8000,10000,9000
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Chakkarakeli(White),Large,23/04/2025,2600,3700,3500
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Karpura,Large,23/04/2025,2500,3600,3300
"Andhra Pradesh",Krishna,Tiruvuru,"Dry Chillies","Dry Chillies",FAQ,23/04/2025,11000,13500,12000
"Andhra Pradesh",Krishna,Tiruvuru,Maize,Hybrid/Local,Non-FAQ,23/04/2025,2100,2250,2225
"Andhra Pradesh",Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,FAQ,23/04/2025,2400,2600,2500
"Andhra Pradesh",Kurnool,Yemmiganur,Groundnut,TMV-2,FAQ,23/04/2025,5530,6100,5990
"Andhra Pradesh",Nellore,Atmakur(SPS),Cotton,Local,FAQ,23/04/2025,7121,7600,7521
"Andhra Pradesh",Visakhapatnam,Anakapally,Gur(Jaggery),"NO 3",FAQ,23/04/2025,3090,3420,3255
"Andhra Pradesh",Visakhapatnam,Chintapally,Turmeric,Finger,FAQ,23/04/2025,9500,10500,10000
Bihar,Madhubani,Jainagar,Onion,Medium,FAQ,23/04/2025,2500,2777,2600
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,23/04/2025,500,1600,1100
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Peas Wet",Other,FAQ,23/04/2025,3000,4500,4000
Goa,"North Goa",Mapusa,"Green Chilli","Green Chilly",FAQ,23/04/2025,3700,3700,3700
Gujarat,Ahmedabad,Viramgam,Wheat,Other,FAQ,23/04/2025,2300,2805,2550
Gujarat,Amreli,Bagasara,Wheat,"Lokwan Gujrat",FAQ,23/04/2025,2500,2600,2550
Gujarat,Amreli,Damnagar,Ginger(Green),"Green Ginger",FAQ,23/04/2025,4850,5550,5200
Gujarat,Banaskanth,Vadgam,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,23/04/2025,2255,2390,2390
Gujarat,Banaskanth,Vadgam,Wheat,"Lokwan Gujrat",FAQ,23/04/2025,2200,2505,2325
Gujarat,Bharuch,Ankleshwar,Brinjal,Brinjal,FAQ,23/04/2025,1000,1500,1200
Gujarat,Bharuch,Ankleshwar,Coriander(Leaves),Coriander,FAQ,23/04/2025,1200,2800,2500
